City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,2.25,93,100,0.51,CL,1722710518
1,bethel,41.3712,-73.414,33.13,64,75,4.12,US,1722710519
2,bakchar,57.0186,82.0711,17.36,97,100,0.12,RU,1722710519
3,pingzhuang,42.0372,119.2889,22.83,97,100,2.89,CN,1722710520
4,adamstown,-25.066,-130.1015,20.83,72,19,6.3,PN,1722710520
5,saacow,1.6279,42.4407,24.88,72,98,8.33,SO,1722710521
6,raja,8.4596,25.678,22.42,92,82,1.49,SS,1722710521
7,port angeles,48.1181,-123.4307,22.19,71,0,3.09,US,1722710522
8,alice springs,-23.7,133.8833,13.75,30,40,3.6,AU,1722710522
9,new norfolk,-42.7826,147.0587,8.84,71,96,3.99,AU,1722710523
10,sur,22.5667,59.5289,32.67,56,100,3.36,OM,1722710523
11,olonkinbyen,70.9221,-8.7187,5.38,89,79,4.29,SJ,1722710524
12,lazaro cardenas,17.9583,-102.2,30.6,60,99,1.65,MX,1722710524
13,puerto ayora,-0.7393,-90.3518,23.98,82,75,3.13,EC,1722710525
14,kete krachi,7.7939,-0.0498,25.42,83,55,3.49,GH,1722710526
15,nelidovo,56.2211,32.7774,13.69,95,12,1.86,RU,1722710526
16,ushuaia,-54.8,-68.3,-1.19,80,75,4.12,AR,1722710527
17,bilibino,68.0546,166.4372,5.95,74,96,1.12,RU,1722710527
18,port-aux-francais,-49.35,70.2167,2.79,81,10,10.61,TF,1722710528
19,thompson,55.7435,-97.8558,17.09,45,75,4.63,CA,1722710528
20,nampula,-15.1165,39.2666,20.97,73,0,4.12,MZ,1722710529
21,yellowknife,62.456,-114.3525,20.79,42,75,5.66,CA,1722710529
22,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,0,2.0,RU,1722710530
23,quzhou,28.9594,118.8686,25.28,79,100,0.44,CN,1722710530
24,minas de marcona,-15.2119,-75.1103,18.79,48,0,6.7,PE,1722710531
25,praia da vitoria,38.7333,-27.0667,26.14,69,20,0.21,PT,1722710532
26,port mathurin,-19.6833,63.4167,22.45,67,15,5.16,MU,1722710532
27,palikir - national government center,6.9248,158.1611,23.41,94,40,2.06,FM,1722710533
28,whitehorse,60.7161,-135.0538,16.17,54,75,3.09,CA,1722710533
29,jamestown,42.097,-79.2353,24.8,88,75,4.63,US,1722710242
30,sumbawa besar,-8.5,117.4333,21.35,97,61,1.55,ID,1722710534
31,isafjordur,66.0755,-23.124,12.02,76,75,8.23,IS,1722710535
32,iqaluit,63.7506,-68.5145,8.85,61,20,5.14,CA,1722710535
33,badger,64.8,-147.5333,11.14,90,100,2.57,US,1722710536
34,nar'yan-mar,67.6713,53.087,10.52,78,98,7.83,RU,1722710536
35,ribeira grande,38.5167,-28.7,26.22,73,20,4.63,PT,1722710537
36,waitangi,-43.9535,-176.5597,8.23,79,29,1.79,NZ,1722710534
37,invercargill,-46.4,168.35,1.68,93,89,1.79,NZ,1722710537
38,praia,14.9215,-23.5087,27.3,65,75,4.12,CV,1722710538
39,saldanha,-33.0117,17.9442,9.03,81,85,3.63,ZA,1722710538
40,qaqortoq,60.7167,-46.0333,9.59,69,0,3.52,GL,1722710539
41,juan griego,11.0817,-63.9655,32.07,62,60,8.75,VE,1722710539
42,port de pollenca,39.9075,3.0814,29.21,69,0,2.61,ES,1722710540
43,burang,30.25,81.1667,9.79,84,100,1.62,CN,1722710540
44,west island,-12.1568,96.8225,25.99,73,40,3.6,CC,1722710541
45,tiksi,71.6872,128.8694,6.36,81,99,0.58,RU,1722710541
46,edinburgh of the seven seas,-37.0676,-12.3116,11.66,71,100,13.52,SH,1722710542
47,port elizabeth,-33.918,25.5701,15.73,58,87,1.54,ZA,1722710263
48,ambanja,-13.6833,48.45,20.48,86,32,1.2,MG,1722710543
49,challans,46.8436,-1.8749,21.51,87,85,4.08,FR,1722710544
50,kodiak,57.79,-152.4072,12.73,71,75,2.06,US,1722710544
51,qamdo,31.1667,97.2333,7.41,83,90,1.55,CN,1722710545
52,keetmanshoop,-26.5833,18.1333,20.51,19,5,4.63,NA,1722710545
53,udachny,66.4167,112.4,13.15,72,77,2.27,RU,1722710546
54,madimba,-10.4,40.3333,22.62,83,20,5.14,TZ,1722710546
55,tashtagol,52.7657,87.8894,15.6,98,100,1.56,RU,1722710547
56,grytviken,-54.2811,-36.5092,-4.37,95,100,4.36,GS,1722710535
57,miquelon,47.0975,-56.3814,21.0,94,95,5.97,PM,1722710548
58,avarua,-21.2078,-159.775,19.03,82,100,0.51,CK,1722710548
59,tazovsky,67.4667,78.7,12.8,80,89,4.41,RU,1722710549
60,eydhafushi,5.1033,73.0708,28.77,72,28,3.28,MV,1722710549
61,chikola,43.1906,43.9209,23.47,61,9,3.1,RU,1722710549
62,cadillac,44.2519,-85.4012,29.89,34,0,5.66,US,1722710550
63,vadso,70.0744,29.7487,11.49,93,100,5.14,NO,1722710549
64,labrador city,52.9463,-66.9114,25.1,59,75,3.09,CA,1722710551
65,enewetak,11.3474,162.3373,28.14,77,99,0.12,MH,1722710552
